Id,pictures,Candidate,Quote,Key
457,NULL,Hillary,"There's no day that is the same as the day before. So you have to be energized; you have to be focused.",
458,NULL,Hillary,"I'll work to ensure that every single refugee who seeks asylum in the United States has a fair chance to tell his or her story. This is the least we can offer people fleeing persecution and devastation.",
459,NULL,Hillary,"Twenty years ago, I wrote a book called 'It Takes a Village.' And a lot of people looked at the title and asked, 'What the heck do you mean by that?' This is what I mean. None of us can raise a family, build a business, heal a community or lift a country totally alone.",
460,NULL,Hillary,"I've never understood multi-party democracy. It's hard enough with two parties.",
461,NULL,Hillary,"All of us have to recognize that we owe our children more than we have been giving them.",
462,NULL,Hillary,"Every marriage is a mystery to me, even the one I'm in. So I'm no expert on it.",
463,NULL,Hillary,"You cannot have development in today's world without partnering with the private sector.",
464,NULL,Hillary,"Being gay is not a Western invention. It is a human reality.",
465,NULL,Hillary,"Democracy is still a radical idea in a world where we often confuse images with realities, words with actions.",
466,NULL,Hillary,"Egypt is a large, complex, very important country.",
467,NULL,Hillary,"Every president, if you watch what they look like when they come into office, you can see their hair turn white because it's such a hard job.",
468,NULL,Hillary,"I am neither frustrated nor planning anything other than being the best Secretary of State I could be.",
469,NULL,Hillary,"I believe in a zone of privacy.",
470,NULL,Hillary,"I don't think that strategically it is smart to begin cutting your options when the other side does not move at all.",
471,NULL,Hillary,"I mean, I'm a big believer in talking to people when you can and trying to solve problems when you can.",
472,NULL,Hillary,"I want to teach. I want to speak. I want to travel.",
473,NULL,Hillary,"I wish I were taller and thinner but the hair you can do something about.",
474,NULL,Hillary,"I'm not going to have some reporters pawing through our papers. We are the president.",
475,NULL,Hillary,"I'm one of those people who thinks that changing one's hair is the only part of the body that you can change at will.",
476,NULL,Hillary,"I've had extraordinary good luck with my health, other than a broken elbow.",
477,NULL,Hillary,"Individual consciences are fine but individual consciences have to be made manifest.",
478,NULL,Hillary,"It should never be a crime to be gay.",
479,NULL,Hillary,"My father was a small-businessman, and if he didn't get up and go to work, there would be no business.",
480,NULL,Hillary,"Of course, parents are the most important people in a child's life.",
481,NULL,Hillary,"On some campuses, change is effected through nonviolent or even violent means.",
482,NULL,Hillary,"'Smart power' is the use of American power in ways that would help prevent and resolve conflict - not just send our military in.",
483,NULL,Hillary,"The nuclear arsenal that Pakistan has, I believe is secure. I think the government and the military have taken adequate steps to protect that.",
484,NULL,Hillary,"The Russians and the Chinese have been absolutely clear they don't want to see Iran with a nuclear weapon.",
485,NULL,Hillary,"To me you cannot be fully human, fully civilised, unless you recognise humanity in everyone.",
486,NULL,Hillary,"Today we voted as Democrats and Republicans. Tomorrow we begin again as New Yorkers.",
487,NULL,Hillary,"When I became secretary of state, I felt one of my primary jobs was building relationships around the world.",
488,NULL,Hillary,"You can't just give a speech and expect people to fall down and agree with you.",
489,NULL,Hillary,"I don't think the Egyptian people want to see what is a very clear effort to obtain political and economic rights turn into any kind of new form of oppression or suppression or violence or letting loose criminal elements.",
490,NULL,Hillary,"In nearly every religion I am aware of, there is a variation of the golden rule. And even for the non-religious, it is a tenet of people who believe in humanistic principles.",
491,NULL,Hillary,"In the aftermath of September 11, and as the 9/11 Commission report so aptly demonstrates, it is clear that our intelligence system is not working the way that it should.",
492,NULL,Hillary,"One day after laying a wreath at the tomb of Martin Luther King Jr., President Bush appoints a federal judge who has built his career around dismantling Dr. King's legacy.",
493,NULL,Hillary,"The American taxpayer should not be treated more shabbily than debtors from other nations and we should be encouraging other nations to help rebuild Iraq's economy.",
494,NULL,Hillary,"We would very much like to see Iran take a position as a responsible leader that doesn't intimidate or threaten or scare its neighbors and others. But the choice is really up to Iran and we're going to keep working to try to come out with the right decision.",
495,NULL,Hillary,"I don't think about a legacy; I think about my life, because I've had quite an unpredictable life.",
496,NULL,Hillary,"I learned to be far more skeptical of what I'm told by presidents, no matter who the presidents are, and also to be much more cautious, always, in any action or vote that could lead to the use of American military power and most particularly what we call 'boots on the ground.'",
497,NULL,Hillary,"Cooking, decorating, diet/self-help and gardening books are guilty pleasures and useful time fillers.",
498,NULL,Hillary,"Dynamism is a function of change.",
499,...,Hillary,"Europe is a miracle.",
